customerid,namestyle,title,firstname,middlename,lastname,suffix,companyname,salesperson,emailaddress,phone,passwordhash,passwordsalt,rowguid,modifieddate
29521,False,Mr.,Tom,H,Johnston,None,Brightwork Company,adventure-works\shu0,tom1@adventure-works.com,883-555-0177,WonAzK7XRDoFn66D6qVMzma60dA96LHtk2lz7a28mI4=,0lp7vWg=,c1e8581a-065b-42e4-a934-71fad25cfb80,2005-08-01 00:00:00
29522,False,Mr.,Thomas,B.,Armstrong,Jr.,Resale Services,adventure-works\linda3,thomas1@adventure-works.com,226-555-0146,8ml/xroz0hroeUDl/KW2y2QlIIgHgygotLw0Md60cBY=,hXYQBis=,4862835c-7661-41fb-9745-80f275b9723a,2005-08-01 00:00:00
29523,False,Mr.,John,None,Arthur,None,The Gear Store,adventure-works\jillian0,john6@adventure-works.com,149-555-0113,AJwPH2IQhCHW77xtUnJh0G0EXqA11PsPLRRuSQK+K9U=,ZXH0EUg=,7d7d6d52-79e3-4ce4-9f68-2d8b6bf4854d,2005-08-01 00:00:00
29524,False,Mr.,Chris,None,Ashton,None,Immense Manufacturing Company,adventure-works\jillian0,chris3@adventure-works.com,556-555-0145,wGKQ72A4aSsDe2tQKUY1T1o0i/AO69PqKcMSFIponoQ=,3VRtZxg=,7901ec05-a4c0-49e4-ac89-9118b3b5ec8b,2007-08-01 00:00:00
29525,False,Ms.,Teresa,None,Atkinson,None,Extended Bike Sales,adventure-works\linda3,teresa0@adventure-works.com,129-555-0110,t+VbX7JvYz3GISo+HPpubYQr00RQKJLNqOx1dQdMKCc=,bwG1Wck=,ad907f95-dd96-4d69-a8d0-c72f64203cca,2005-09-01 00:00:00
29527,False,Mr.,Robert,A.,Avalos,None,Workout Emporium,adventure-works\josé1,robert2@adventure-works.com,665-555-0198,V09BZHvbhAXD4fluXDexe9/89mGNsFPrGa/5NMiJBRU=,3lDpoDs=,36702d8c-0756-4b16-b0da-8c97103d8b90,2007-09-01 00:00:00
29528,False,Mr.,Stephen,M.,Ayers,None,Work and Play Association,adventure-works\michael9,stephen1@adventure-works.com,818-555-0171,m79YsPy3BDp4/SUQsvNcbTQuyZxUGV9TuBeHcAHjZCk=,F0hRcQ8=,82c1fbd9-e2a5-4cd2-b07c-fe803b57b0c9,2006-09-01 00:00:00
29530,False,Mr.,Daniel,None,Blanco,None,Nice Bikes,adventure-works\garrett1,daniel0@adventure-works.com,221-555-0167,bnDkCXU7YCA05COiVJst0pMlaJtfAK0H8pgniBfLooM=,oOIbGSo=,ea3d7fc9-b1d0-4d83-8b1d-f47cca131b0b,2006-09-01 00:00:00
29531,False,Mr.,Cory,K.,Booth,None,Remarkable Bike Store,adventure-works\linda3,cory0@adventure-works.com,121-555-0157,OfvFj11NFlpVFhEacTp7Nw+8EqwxHKIv9aJ+2ZgcUMI=,XaJdIYM=,75d00aa7-752f-41c9-9c5d-899e8e3061bd,2005-12-01 00:00:00
29532,False,Mr.,James,B.,Bailey,Jr.,Road-Way Mart,adventure-works\david8,james3@adventure-works.com,234-555-0112,ZRFnYyY0jR0KxF7thOVIbZAFk+RsH+WO0kvZDRTup2Y=,4TnK5Fo=,c5aae356-0b32-4293-b09f-656ee3b5c04f,2006-10-01 00:00:00
29533,False,Mr.,Douglas,A.,Baldwin,Jr.,Small Cycle Store,adventure-works\michael9,douglas1@adventure-works.com,583-555-0130,9lHdXDAUHUKcA9bEprsps9C8mGNyVVPQ36yJe1BxrWw=,TmbNGeI=,83de2678-7dbc-4b56-9ec6-682ce7652ff3,2005-07-01 00:00:00
29535,False,Mr.,Wayne,N.,Banack,None,Grand Bicycle Stores,adventure-works\jillian0,wayne0@adventure-works.com,640-555-0189,W6e3zjP9/VTWIVDfWOJ7/sdwfvSP0qPkcRJ1pTa249I=,mv8CSkM=,772bac57-52af-492a-97da-30ec59dac03b,2006-09-01 00:00:00
29536,False,Mr.,Robert,L.,Barker,None,Kickstand Sellers,adventure-works\michael9,robert3@adventure-works.com,241-555-0112,q8JpThg+EEoLRrvqBMW+Wa0RbFcCIfVIzYcGGELEOdk=,cdUS/K4=,8aa94321-8937-4950-aa00-504988e0a124,2006-12-01 00:00:00
29539,False,Mr.,Josh,None,Barnhill,None,Gasless Cycle Shop,adventure-works\garrett1,josh0@adventure-works.com,584-555-0192,bskaXdzyt3OUpHetBO/IcD+SDhG5EyMDjtlYBlgd5JM=,m3KdhOo=,69df26ec-38fb-4588-ae26-5987edccabf2,2005-08-01 00:00:00
29541,False,None,Gytis,M,Barzdukas,None,Transportation Options,adventure-works\josé1,gytis0@adventure-works.com,257-555-0119,muiJ85PHJTw5ocOM+yS+gq+w8REzzCOfzXZNFyDZniI=,lUNnQso=,6048ea4a-07f5-4fc6-9638-878f76822941,2005-11-01 00:00:00
29544,False,Mr.,Shaun,None,Beasley,None,Finer Cycle Shop,adventure-works\garrett1,shaun0@adventure-works.com,396-555-0187,zrx5RFbPSu5mxzlRdxbDIH2wSdDS9S9OvSavFh1QHUA=,XjtM78E=,a9a96153-f3f1-4049-872e-592b6e674bc3,2006-08-01 00:00:00
29545,False,Mr.,John,A.,Beaver,None,Center Cycle Shop,adventure-works\pamela0,john8@adventure-works.com,521-555-0195,DzbqWX7B3EK5Dub92CKHYSUGKGbZCbrcVDpVe/xyBeI=,zXNgrJw=,38dc2574-509c-4f65-b73a-68187f11b787,2007-04-01 00:00:00
29546,False,Mr.,Christopher,R.,Beck,Jr.,Bulk Discount Store,adventure-works\jae0,christopher1@adventure-works.com,1 (11) 500 555-0132,sKt9daCzEEKWAzivEGPOp8tmaM1R3I+aJfcBjzJRFLo=,8KfYx/4=,228a34a5-66ef-4a18-bef2-be74beb84191,2006-09-01 00:00:00
29548,False,Ms.,Ann,None,Beebe,None,First-Rate Outlet,adventure-works\garrett1,ann0@adventure-works.com,277-555-0169,l3pyVEyTaWqsF1xRfSXtR2CgCOfOXQCSumdlzqMKLxQ=,BX3pcB8=,00cfdbc0-cdd2-4436-b0ae-dd248f4e4371,2005-08-01 00:00:00
29550,False,Mr.,Stanley,A.,Alan,Jr.,Another Bicycle Company,adventure-works\david8,stanley0@adventure-works.com,156-555-0126,uzR3iWUJwdMRenhBxExmLfmCRPenWgwazHnSEPDbzb8=,kj/7VTw=,2b89c6ed-7f4e-4986-9408-38528091d899,2007-09-01 00:00:00
29553,False,Ms.,Edna,J.,Benson,None,Unsurpassed Bikes,adventure-works\jillian0,edna0@adventure-works.com,789-555-0189,POpWTovMrdUJmLS24NDBdrrY5tasoVlQod5uB56k4YM=,Jx6w2tk=,f7267a9a-0db3-4a74-a652-a23ec874ab11,2007-09-01 00:00:00
29554,False,Mr.,Payton,P.,Benson,None,Field Trip Inc,adventure-works\michael9,payton0@adventure-works.com,528-555-0183,FnBp23EtjoS2hj7nCcr9a76vZjNvQ+/WT/5vyYyKG5o=,TYGH50Q=,3a972eed-6db6-47ec-963c-c52c7e256b82,2005-11-01 00:00:00
29557,False,Mr.,Alexander,J.,Berger,II,Odometers and Accessories Company,adventure-works\garrett1,alexander0@adventure-works.com,519-555-0151,xGCe2CsXuZvX8e6v4sTb/+XoU+4gWDQEnJADwhDsrhg=,ns1gQU4=,2be64ff5-7723-44d0-86e2-2affd80b0281,2007-09-01 00:00:00
29558,False,Mr.,John,M.,Berger,Jr.,Scratch-Resistant Finishes Company,adventure-works\josé1,john10@adventure-works.com,156-555-0111,0J6cl9Zhm+g4rbqJrvyshZWF72arbVNptT27ZL2QTMc=,2Ugh6Q4=,2c9dd7e4-7832-4954-87d2-94461d750bb1,2005-08-01 00:00:00
29559,False,Mr.,Robert,M.,Bernacchi,None,Safe Cycles Shop,adventure-works\david8,robert4@adventure-works.com,449-555-0176,uNz2P7Jd7t3y2Neqi3NsRS7m0blEPSm/j3sOdXpJ7aw=,G5Du9Sw=,f21a8178-0e5b-4e88-94ae-1d46914cb020,2006-09-01 00:00:00
29560,False,Mr.,Matthias,None,Berndt,None,Number 1 Supply,adventure-works\shu0,matthias1@adventure-works.com,384-555-0169,PGmZaBbqtByrVs9jYLcigdjJ5O29jcKmsdbRwANU3WQ=,6Mzfp8w=,add0cc30-6294-45cf-87fb-8e27833fb38c,2006-08-01 00:00:00
29562,False,Mr.,Steven,B.,Brown,IV,Golf and Cycle Store,adventure-works\shu0,steven1@adventure-works.com,280-555-0124,S9Kf7AXqY19C/4rLMHjUwO+5Yh7mMhaPsuouZxizDpg=,Hp2yS7E=,a1427a83-0d0c-4541-8823-42dfe2838756,2005-09-01 00:00:00
29565,False,Mr.,Jimmy,None,Bischoff,None,World Bike Discount Store,adventure-works\linda3,jimmy1@adventure-works.com,992-555-0111,lbduPisVeIU+cP9cYQejSE4m0OPZJifKl9/E7GrrAyo=,BJUetfg=,271b27d9-e905-4fce-bd85-c9c4184e3e9e,2005-07-01 00:00:00
29566,False,Ms.,Mae,M.,Black,None,Historic Bicycle Sales,adventure-works\michael9,mae1@adventure-works.com,264-555-0143,qiRmTStKEBxzfmlGc6Ig0CWYVsQnN0PQGgmTEAyux7g=,Zg4TO0Q=,2a455d51-93b4-4bd7-82f3-832a1264bca1,2005-07-01 00:00:00
29567,False,Ms.,Jackie,E.,Blackwell,None,Commuter Bicycle Store,adventure-works\josé1,jackie0@adventure-works.com,972-555-0163,wqhgKfOTfef4Zo3cb6FwsFzvG/yCVstuYh3AuwjRszQ=,SZ+r60o=,d8cb0e62-2423-4521-b8e1-0488855775a1,2007-08-01 00:00:00
29568,False,Mr.,Donald,L.,Blanton,None,Coalition Bike Company,adventure-works\shu0,donald0@adventure-works.com,357-555-0161,pKYDelLBOZMO98GBzhMxBSzzE0gUYKx9dXzYTYNuBgw=,jKtOaOw=,d8b39163-b4b4-428d-acd7-1df795d801dc,2006-09-01 00:00:00
29569,False,Ms.,Linda,E.,Burnett,None,Travel Systems,adventure-works\jillian0,linda4@adventure-works.com,121-555-0121,23AwhujCoXYSPiN/B+G8Z9rk36xl35EbdLT7akTMTqU=,SmyIPjE=,eb9d1cec-596e-4775-ad51-abd597a2679a,2005-08-01 00:00:00
29570,False,Mr.,Michael,Greg,Blythe,None,Grease and Oil Products Company,adventure-works\jillian0,michael11@adventure-works.com,126-555-0172,5QCj8NIegcVaNIwAHhbulqzIKzgsgpVptbr8vMjvY9Q=,8L4g3I4=,ce40d69c-5141-4b37-921f-749c22722b9f,2005-07-01 00:00:00
29571,False,Ms.,Gabriel,L.,Bockenkamp,None,Moderately-Priced Bikes Store,adventure-works\pamela0,gabriel0@adventure-works.com,763-555-0145,hW0+tFeNNdvPsnKDuHc6OmH0bCdD2kCfpU6qVvIjdPs=,fjVy+G4=,0a854f09-fbe8-4bf2-bd46-7a6180cb96d0,2005-08-01 00:00:00
29573,False,Sr.,Luis,None,Bonifaz,None,Economy Bikes Company,adventure-works\linda3,luis0@adventure-works.com,688-555-0113,fOnF7T/vMnI6uJzH1IxN9lcM8z31odelgSIW9Vu8sD4=,dz8Ej6A=,473731ff-4260-43fd-9bae-decee582420e,2006-09-01 00:00:00
29574,False,Mr.,Randall,None,Boseman,None,Third Bike Store,adventure-works\jillian0,randall0@adventure-works.com,383-555-0117,UsXZ9ElCaZBo0YED9A2khFNGjNK+8yHdxnraI+OHsZ8=,oMeb83g=,b4a76396-2351-4b5b-8fee-18f97d6fe030,2006-09-01 00:00:00
29576,False,Mr.,Eli,None,Bowen,None,Bikes for Two,adventure-works\josé1,eli0@adventure-works.com,371-555-0143,lQBr+SJMfQdHmj/GHgx+x1PKMKtwLGbiInwVTo+4Qfo=,7P8PxcQ=,19e3ad5c-caa8-41f6-9781-d56c651b4133,2006-09-01 00:00:00
29577,False,Mr.,Lester,J.,Bowman,Sr.,Metal Processing Company,adventure-works\garrett1,lester0@adventure-works.com,844-555-0112,+CFHIbYlE+nsmSbCpJOTLZXChbtYA9JzdSnd1Qejk5g=,w7ec7iI=,d6567177-9aec-400b-9097-f3f33124242a,2005-09-01 00:00:00
29579,False,Mr.,Cornelius,L.,Brandon,None,Initial Bike Company,adventure-works\shu0,cornelius0@adventure-works.com,229-555-0114,fftjn+fbjvHFJ4bf7rTpLdlCHv61xF+y0ZPKKevQV98=,OzSaq2k=,af37ebff-fe33-4cc9-8141-e0d4594f50e2,2006-09-01 00:00:00
29580,False,Mr.,Richard,None,Bready,None,Latest Sports Equipment,adventure-works\david8,richard1@adventure-works.com,340-555-0131,kOabrc0OqOISR4N3D3FZkOh3yAKQCF/ozSx7G00Kpt0=,jpRF8lY=,041c42b9-857b-4b3f-b314-3bf29999ad48,2005-07-01 00:00:00
29582,False,Mr.,Ted,None,Bremer,None,Raw Materials Inc,adventure-works\pamela0,ted0@adventure-works.com,962-555-0166,mBQHYK00pq9+tDgH7TR6fPrrYQ2drX7/VuuHgkUSOiQ=,MxiyX14=,3ea30aea-3c37-4450-a3ad-97ea44b21ff6,2005-08-01 00:00:00
29583,False,Mr.,Alan,None,Brewer,None,Lots of Bikes Storehouse,adventure-works\jillian0,alan1@adventure-works.com,494-555-0134,t9ecYoVIOcEiyXvl+noHoCymcRlJij1fzZzXfKeZ/R0=,6ZoXk8E=,63797367-055a-48fc-97c0-2c4d8573585e,2005-11-01 00:00:00
29584,False,Mr.,Walter,J.,Brian,IV,Futuristic Bikes,adventure-works\shu0,walter0@adventure-works.com,163-555-0155,NN11OHHxrOm6r8lPyhXuBk13QMD+8tph5PIdJ4t0JmY=,PiILPfc=,bd077add-f8f5-471c-a5fd-31a61303f41f,2006-09-01 00:00:00
29585,False,Mr.,Christopher,M.,Bright,None,Parcel Express Delivery Service,adventure-works\david8,christopher2@adventure-works.com,162-555-0166,jIw8zSChmDX3xmVInKUV46U77LBgW9C5vlIMvK4NqF8=,J9DNyhU=,11e65e98-1980-4d9f-a6c0-a6dd2885b673,2005-11-01 00:00:00
29587,False,Mr.,John,R.,Brooks,None,Prosperous Tours,adventure-works\jae0,john12@adventure-works.com,1 (11) 500 555-0179,7cimopKXrRxK/+QAEW4WJ+XGTEEJvTsX0l1QxCAWQI0=,C4OiUF4=,8916316f-55e7-453e-9c82-f59b5fc32913,2006-07-01 00:00:00
29588,False,Mr.,Willie,P.,Brooks,Jr.,Nonskid Tire Company,adventure-works\pamela0,willie0@adventure-works.com,525-555-0174,HKBXG8BXKW53RK2DsPsqNDV7PdDSavcncjD1t/rdW18=,dS1y3X0=,deb25f8c-1d9f-442a-b686-6a505de0c1bf,2005-11-01 00:00:00
29590,False,Mr.,Jo,None,Brown,None,Metro Bike Works,adventure-works\michael9,jo2@adventure-works.com,689-555-0130,KZaaqy2YCpxZaXM7rzYJyuNkw9w+wWoUaL5P6Jdyzpk=,T2lZOPo=,7e529a97-2b5c-4339-883f-3eccfb85e411,2006-08-01 00:00:00
29591,False,Mr.,Robert,None,Brown,None,Best o' Bikes,adventure-works\jillian0,robert5@adventure-works.com,575-555-0189,WdS3xcgtqW4nnV7dyZ17PmiMPZ5vKs5whm3ANBVQ1sQ=,mQK+bIw=,74aa6608-703f-4f37-a447-bbf9879c0d4f,2007-07-01 00:00:00
29593,False,Ms.,Mary,K.,Browning,None,Client Discount Store,adventure-works\jillian0,mary5@adventure-works.com,658-555-0146,ChGbWjf0h+VNc991cHR4FwJMGxeHxuYSeKVPflcq7wc=,dt/JUB4=,c610f872-6183-4d98-ada3-e3a5b1a3588d,2006-08-01 00:00:00
29596,False,Mr.,Eric,J.,Brumfield,None,Requisite Part Supply,adventure-works\josé1,eric3@adventure-works.com,644-555-0114,pd7lPYE+Gn7QnX4l6aMxG6WiRZGpPVsBcJ1kBpXl7pc=,MAOhXKA=,a6172f3e-c548-45cb-b1d7-79ca27ac267b,2005-07-01 00:00:00
29598,False,Mr.,Michael,None,Brundage,None,Mechanical Products Ltd.,adventure-works\shu0,michael13@adventure-works.com,128-555-0148,Ioh5Ss2cXrUAI8DZcSkQ/z92aEmHE0Wxqc6MdggjJQE=,MjQeaAE=,5411839c-daa1-4827-a995-1856c8217de2,2006-08-01 00:00:00
29599,False,Ms.,Shirley,R.,Bruner,None,Commendable Bikes,adventure-works\david8,shirley0@adventure-works.com,383-555-0155,haGTwCpR1pahJRX/490ASvk+bkWOZv828Z8Krd0XO50=,Jmtgb40=,985b33bb-5eb3-4cba-87fb-250f05471374,2006-07-01 00:00:00
29600,False,Ms.,June,B.,Brunner,None,Online Bike Sellers,adventure-works\michael9,june0@adventure-works.com,249-555-0172,V74x3qYKzA71fWSI3y7gFD552b65vQ+acGzI6wdBsQ4=,hY2Xf6o=,2e9e3d6c-f361-49dd-885f-95e36bcdd2a2,2006-09-01 00:00:00
29601,False,Mr.,Dirk,J.,Bruno,None,Custom Accessories Company,adventure-works\garrett1,dirk0@adventure-works.com,817-555-0114,XaEqG3bH0NhFTn8IBCk4SidcF444Tnvqqr5UjGUiN7E=,DblcZuo=,18bcb5d4-14fb-4af6-a8c2-af791b677f6c,2006-08-01 00:00:00
29603,False,Sra.,Janaina Barreiro Gambaro,None,Bueno,None,Courteous Bicycle Specialists,adventure-works\josé1,janainabarreirogambaro0@adventure-works.com,476-555-0184,VC5UG8CPRifGAgItWSWIpplMzshRj9HJwWt6KBvEFk0=,aNoO9K0=,c8099813-1f08-41c6-8567-025cab01f0fa,2007-09-01 00:00:00
29605,False,Ms.,Megan,E.,Burke,None,Professional Cycle Store,adventure-works\shu0,megan0@adventure-works.com,148-555-0149,/96oQfFuq06DWi8P5TZqIU/tF2E/GKRMliIjGRWKRDE=,9P3dKrM=,216795c5-fbc9-4cff-8ce3-2400e7679fa6,2006-07-01 00:00:00
29606,False,Ms.,Karren,K.,Burkhardt,None,Fifth Bike Store,adventure-works\david8,karren0@adventure-works.com,652-555-0132,ho3bUU87fZAlity/45XvFPVE/DgEaLKvI+ZW1e56rnA=,x1JqF8M=,3cef570c-26dd-478e-9f28-015037841ee2,2005-07-01 00:00:00
29608,False,Mr.,Timothy,B.,Burnett,Jr.,Farthest Bike Store,adventure-works\josé1,timothy0@adventure-works.com,251-555-0172,lYPMOabTmO7waFR155ZAm1jDwBg6VW2xrT6sZ1yxPio=,e8KtQ70=,eee846be-2edc-4353-bcec-756c9bc94ac1,2007-08-01 00:00:00
29611,False,Mr.,Jared,L.,Bustamante,None,Alternative Vehicles,adventure-works\pamela0,jared0@adventure-works.com,164-555-0147,HpDMv2bnK4/qDUMQn8+csux9vDdycGo7vFyJ5y4Vh/Q=,NbybY4k=,76d4bbbd-3474-487b-9090-20f86ff81608,2005-11-01 00:00:00
29612,False,Mr.,Richard,A.,Byham,None,Channel Outlet,adventure-works\jae0,richard2@adventure-works.com,1 (11) 500 555-0138,adQ3TmZB28FhQvF2FntW1RInx5S+aOSvwpURQDLarr8=,KoBtEoU=,768148e4-4d17-4b9b-86ca-76f5122fc107,2007-09-01 00:00:00
29614,False,Mr.,Ryan,None,Calafato,None,Retail Mall,adventure-works\josé1,ryan1@adventure-works.com,726-555-0155,7zHYCWMhkitUJXggqG0dMfCqyK0FBDp/XwCeyPYWZ1A=,DBuWFZ4=,1722be43-305b-4275-8863-f6d54343f12a,2005-07-01 00:00:00
29615,False,Ms.,Mari,B.,Caldwell,None,Metro Metals Co.,adventure-works\jae0,mari0@adventure-works.com,1 (11) 500 555-0118,1tbKzsdwFfEX1T/OP+I5Eu7EVKuWn2FviChJGtlaeQI=,x8xILbE=,c7e5d895-eaba-4cc6-a7ab-50b8569541d3,2007-08-01 00:00:00
29616,False,Ms.,Barbara,J.,Calone,None,Sheet Metal Manufacturing,adventure-works\jillian0,barbara2@adventure-works.com,145-555-0152,W+klFtJ6V2H2UQK1pJdYy2MEbai2eYSHD0QGx02rFw8=,8iuXJ0k=,21df3ff8-0a8f-434b-9290-e562b7da6dca,2006-08-01 00:00:00
29617,False,Ms.,Lindsey,R.,Camacho,None,Thorough Parts and Repair Services,adventure-works\pamela0,lindsey0@adventure-works.com,827-555-0143,6puEloqDRSg8AhINyUQ7qORZUS5CON8jUaFikiprWVo=,bhH3VWU=,96e154eb-8f02-4651-a117-5e248685341d,2005-08-01 00:00:00
29618,False,Sr.,Gustavo,None,Camargo,None,Uttermost Bike Shop,adventure-works\jae0,gustavo1@adventure-works.com,1 (11) 500 555-0118,+hCthjbuE+VctSZXuurfmfusjXPrneMHQFQLVjTsnuE=,fS7eEaQ=,89be0fa2-162c-400d-9d8b-f2e557242088,2006-08-01 00:00:00
29620,False,Ms.,Joan,M.,Campbell,None,Two-Wheeled Transit Company,adventure-works\josé1,joan0@adventure-works.com,700-555-0155,hKb4COq5+4SAW8APMfmPmILk4cdhwtpjpD7Yx8xcx9U=,eVaIdvY=,a2268d9a-2511-43c3-95cc-d7de094109f1,2005-08-01 00:00:00
29622,False,Mr.,Henry,L.,Campen,None,Metro Cycle Shop,adventure-works\david8,henry0@adventure-works.com,635-555-0126,sk3ylc8GdTAWxH2DM4cy8rLkoHXK7tIeMWUl3VNm+Bk=,2NEGr8A=,ea5ea0f8-67b9-4d47-9d52-220f951fc446,2005-09-01 00:00:00
29623,False,Mr.,Chris,None,Cannon,None,Outdoor Sporting Goods,adventure-works\shu0,chris5@adventure-works.com,118-555-0131,RKimtgGoqQN8dj2KGy7mvo2DrpTK0yOpF9e6sgxyOTU=,LQWSses=,e9b77812-22b3-427a-8a5a-ea8275ed7b21,2007-07-01 00:00:00
29625,False,Ms.,Suzana De Abreu,A.,Canuto,None,Petroleum Products Distributors,adventure-works\josé1,suzanadeabreu0@adventure-works.com,990-555-0141,aQhg/A43Nq3pqIBjcyPBvjQ7qXHAckVwm6FjAZCx0nc=,RpQyjlA=,6e7dd825-a7cd-439e-bc06-7c90aacbc553,2007-09-01 00:00:00
29627,False,Mr.,Johnny,A.,Caprio,Jr.,Bikes and Motorbikes,adventure-works\garrett1,johnny0@adventure-works.com,112-555-0191,jtF9jBoFYeJTaET7x+eJDkd7BzMz15Wo9odbGPBaIak=,wVLnvHo=,50aea181-60f3-4b91-bc52-238b7cf7a9db,2006-08-01 00:00:00
